id,BFI_1,BFI_2,BFI_3,BFI_4,BFI_5,BFI_6,BFI_7,BFI_8,BFI_9,BFI_10,BFI_11,BFI_12,BFI_13,BFI_14,BFI_15,BFI_16,BFI_17,BFI_18,BFI_19,BFI_20,BFI_21,BFI_22,BFI_23,BFI_24,BFI_25,BFI_26,BFI_27,BFI_28,BFI_29,BFI_30,BFI_31,BFI_32,BFI_33,BFI_34,BFI_35,BFI_36,BFI_37,BFI_38,BFI_39,BFI_40,BFI_41,BFI_42,BFI_43,BFI_44
1,4,1,4,1,3,3,4,3,4,3,4,1,4,2,4,3,5,3,1,3,2,3,3,5,2,2,2,4,2,5,2,4,3,5,5,5,1,2,1,2,4,3,3,2
2,3,2,4,3,5,4,5,2,4,4,3,1,5,3,4,4,4,5,2,5,3,5,3,4,4,3,1,4,1,5,3,4,4,4,3,4,1,4,2,5,5,4,3,4
3,2,2,4,2,4,5,4,2,2,4,3,1,5,4,4,2,4,5,3,5,4,4,4,4,3,2,1,3,2,2,4,4,3,2,4,5,1,2,1,5,2,5,4,2
4,2,3,4,2,3,5,4,3,4,4,3,2,4,2,3,3,5,2,3,3,4,4,3,2,2,3,3,2,4,2,2,4,3,4,3,4,2,3,2,2,2,4,4,2
5,4,4,4,3,4,3,4,3,3,4,5,1,5,4,4,4,3,3,4,5,3,3,2,3,3,3,2,5,2,2,2,4,3,4,3,3,2,3,1,4,4,3,4,1
6,2,3,4,2,4,4,4,3,2,5,3,1,4,4,3,3,2,2,4,5,4,3,3,3,4,4,4,4,3,3,3,3,4,3,3,2,4,4,3,5,4,2,5,3
7,1,5,5,5,3,5,2,4,1,3,1,2,5,5,4,1,4,1,5,5,2,3,2,2,3,4,5,3,4,5,3,3,5,3,5,3,3,4,1,3,4,3,1,4
8,3,4,4,1,5,2,3,4,4,5,3,2,4,2,4,3,2,4,2,4,2,2,4,4,4,4,4,4,2,2,2,2,5,5,1,3,4,4,3,2,4,4,5,1
9,5,5,4,4,4,3,3,4,3,5,3,4,5,4,4,4,2,2,3,5,3,3,2,1,5,4,4,4,4,5,4,2,2,3,1,3,4,3,3,5,1,4,3,5
10,2,4,4,3,2,4,4,2,4,3,4,1,5,3,4,3,4,2,3,4,4,4,2,3,3,2,3,5,3,4,4,4,4,4,4,4,2,3,1,3,3,5,3,2
11,4,4,5,1,3,2,5,2,3,5,4,2,5,3,5,5,3,1,3,4,2,4,2,4,4,5,3,5,2,5,1,2,5,2,2,5,2,5,3,3,4,4,2,3
12,4,3,3,1,4,2,4,3,4,5,4,1,4,2,2,3,2,5,2,3,3,2,2,3,3,4,4,4,1,4,2,5,4,4,2,5,1,2,1,4,3,4,3,3
13,4,3,4,2,2,3,5,3,5,3,3,2,4,2,3,1,5,5,2,2,3,3,4,4,2,3,3,3,2,3,2,3,4,4,4,4,2,3,2,3,4,4,3,3
14,3,2,5,2,4,3,5,3,5,5,3,3,5,2,3,4,3,2,1,4,3,4,3,4,4,4,3,4,1,4,3,4,4,4,3,3,2,3,2,4,4,4,3,2
15,1,2,4,3,4,4,5,3,3,4,2,1,4,4,3,2,5,1,4,3,4,2,3,3,2,4,4,4,3,2,4,5,4,3,2,3,1,4,2,2,4,4,3,2
16,3,2,5,2,3,3,4,3,2,4,4,1,4,4,4,3,4,3,3,3,4,4,1,3,3,4,2,3,2,3,4,4,4,1,4,5,1,4,3,3,2,4,3,4
17,4,4,4,4,4,2,4,2,4,5,4,1,5,4,4,4,3,2,4,4,2,4,3,2,3,4,2,4,4,5,2,4,4,4,3,5,2,4,4,5,1,4,3,4
18,4,5,5,4,5,5,5,1,3,5,4,1,5,4,5,4,5,2,4,5,5,5,3,4,5,4,4,5,1,4,5,5,4,3,1,4,2,5,1,5,4,5,5,4
19,4,4,4,2,4,4,4,2,4,5,5,2,5,3,4,4,5,1,5,4,4,3,1,2,4,4,2,4,2,4,3,3,4,4,2,4,2,4,2,4,3,4,2,4
20,2,5,4,1,3,4,2,4,5,3,2,1,4,2,4,2,2,2,2,1,4,1,3,5,2,4,3,4,2,1,1,2,4,5,3,2,3,4,2,2,5,3,3,1
21,2,4,5,2,3,4,4,4,4,5,3,1,5,5,4,4,4,2,4,5,4,2,2,4,4,4,5,5,3,4,4,4,5,4,3,3,3,5,4,5,1,2,2,4
22,4,3,5,2,4,3,5,2,5,5,3,1,5,3,4,4,4,3,3,4,3,4,3,4,4,5,3,5,2,2,4,5,5,5,3,4,2,5,1,3,3,5,3,3
23,4,4,4,1,4,3,3,4,4,5,4,1,4,3,3,3,4,3,3,4,4,3,2,4,3,4,4,4,3,2,3,3,4,3,2,4,2,4,3,3,4,4,3,2
24,3,4,4,2,4,3,4,3,4,4,4,2,4,3,5,3,5,5,2,4,3,4,3,5,3,3,4,4,2,1,3,4,4,4,2,3,2,3,2,3,5,3,4,2
25,3,4,4,3,3,3,4,3,2,4,3,1,4,4,4,3,4,3,4,3,3,4,2,3,2,2,4,3,4,4,3,5,4,2,4,3,2,2,2,3,2,3,2,4
