id,age,gender,______,grades,psychometrics,control_robot,q1,q2,q3,q4,q5,q6
1,18,____,_______+____ (______ + ____),80,714,1,3,3,4,_____ _______ ____ _____ ____ __ ______ ____ ___ ____ _____.,_____ __ _______ ___.,____ ______ ______ __ ___ _____ __ ______ ___ ______ ___ __ ___ ______ ______ _____ __.
2,29,___,_____ ____,,709,1,3,2,3,_____ ____ __ _____ ______ ______.,_____ __ _____ ___ ___ ___ ______.,__.
3,23,___,____ - ______,60,736,0,2,4,3,_____ ____ _____ ______ _____ __ __ _____ _____ (__ ___).,___ ___ _____ __ ____ ______ ____ __ _____ ______ ___ _______ ____.,____ __ ____ __ ___ _____ __ ______ ______.
4,22,___,___ ______ __ ______ ______,80,588,1,3,4,3,_____ _____ __ ___ __ _____ _____ __ ______ _____ ______ _____.,_____ _____ _____ ____ _____ __ _________.,_________ __ ______ _____ __ _____ __ _____ __ ____ _____ ______.
5,22,____,_____ (______ ______),80,674,1,3,4,4,_____ ___________ __ _______ _______ ______ ___ ___ _____ ______ __ ______.,______ __ ______ _____ __________ _____.,"______ ___ ______, ____ ___ __ ____."
6,19,____,_____ ____,70,665,1,4,4,3,_____ __ ___________ ___ _____ ________.,______ __ ______.,__.
7,23,____,_____ ______,85,630,0,3,4,4,"_____ _____ __ ______ _____ __ ______ ____ ______ _____, _____ ____ _____ _____ ______ __ ______.",_____ _____ ____ ____ ____ __ _____?,"______ ______ ___ ____ __ ____. ____ ___ ____ ____! _____, ____ __ ________ ____ _________ _____."
8,27,___,_____,80,732,1,3,4,4,____ ______ __ _____ _____ ______ __ ______.,____ __ _____ ______.,"__, __ ___ ___ _____ ____ ___ ____ _____ _______ ___."
9,27,___,____ ____ _______,99.2,783,0,2,2,2,_____ _____ - ___ ___ ______ _____ __ _____ _______ ___.,_____ _____ __ _____ ______ ______.,"__, ____ __ ______ _______ ___."
10,24,___,____ _____,65,727,1,2,4,4,_____ ______ __ ______.,"_____ __ ____ _____ ___, ______ ______ ___ __ _______ ____ ______ (""_____ __ ____ ___"").","__, __ ___ _____ ______."
11,24,____,________,85,666,1,3,2,3,_____ __ ______ ______.,"_____ __ _______, _____ ____.","__, _____ ____ _______ ___."
12,26,____,________ (________),85,690,0,3,3,3,________ __ _____ _____.,_____ ______ ____ _____.,"___ ____ _____, ___ _____ _______ ____ _____."
13,23,____,_____ ______ ______,85,737,0,2,2,2,_____ __ _____ ______ ____ _______ ______ __ ______ _______ __ ______ _______ _____ _______ ______ _____ _____.,_____ _______ _____ ____.,__ ____ __.
14,19,___,_____ ____ _______,84,694,1,3,2,4,"""","____ _____ _____ ____ __ _____ __ ______ _____ ____ _____ ___ ____ __ ""________"" ____ ____.",__ __ _____ __ ____ ______.
15,25,____,______ _______,85,679,0,2,4,3,_____ ______ _______,_____ __ ______,_____ ____ - ___ ____ _______
16,20,____,_____ ____ ,88,640,0,2,4,3,"_____ ___ _____ ______ _____ __ ______ ______ ___, ___ ___ ____ _____ ___.",_____ __ ______ _____ ___ ___ ______ _____ ____ ________,"__, ___ ____ ______ ___ ___ __ ______, ______ ______- ______ ______ ____ - _______ __ ______ ______"
17,24,___,_____ ____ _______ ,84,745,1,2,4,4,_____ __ _____ ______ ____,_____ ____ ,"__, ______ ___ ______ ____ ____ _______ _______ __"
18,25,___,_____ ____,80,634,1,3,4,4,"____ ____ _______ ______, _______ ____ ___",_____ ______ ,"__, ____ ____ ______ _____"
19,23,___,"_____, _________ _____ ____",89,-,1,2,1,4,_____ __ _____ ______ __ ______ ______ _____,____ ____ __ ______ ___ ___ ____,___ _____ ______ ___ ___ ____ ________ _____ ____
20,26,___,_____ ____,86,736,1,3,4,3,_____ ___ _____ ______ __ ____ ______ __ _______,_____ _____,___ ____ ____ _______
21,22,____,____ ____,93,730,0,1,4,2,_____ ______ __ ______,_____ ,"__ ___ ____ __ ________ ___, ______ _____ __ __ ___ ______ __ ____ _____ _______ ____"
22,25,____,_____,75,642,0,2,4,4,_____ __________ ___ ____ ______ _____ ________ ,_____ ____ _______ ____ ___,____ __ ___ ______ __ _______ ___
23,24,___,_____ __________,90,652,0,2,3,3,_____ ___ _____ ______ _____ __ _______,_____ ____,__ __ _____ __ ___ ______
24,23,___,_____ _______ (____ _____ _______),91,744,1,3,1,3,_____ _____ ____ ____ ___,__ _____ __ ____ __ __'___ ______,"__ ______ ____, ____ ___ ____ _______"
25,24,___,_____,85,732,1,3,1,3,_____ ______ ______ _____ _____ __ ______ _____ ,_____ _____ __ ______ ____ __ _____ _____ ______,"__, ____ __ ______ _______ ______"
26,26,___,_____ _____,70,635,0,3,4,4,_____ __________ __ ___ __ _____ ,_____ ____ _____ ____ ___ ______ ____ ,_____ ___ ___ ______ ____ 
51,26,___,_____ ___ ______ _________ (____ ____),96.5,742,0,2,,4,_____ ___ __ _______ ______ ________ __ _____.,_____ _____ _______.,__ ______ ___ _____ _______ __ ___ ___ ___.
52,27,___,_____ ____,83,730,,2,3,3,_____ __ _____ ______ ______ _______ ________.,_____ ____ ____ ______ __ _____ ______ ___.,___ ____ __ ___ ________ ____ ____ ____ ______ ______ _______ __ ______.
53,19,___,____ _____ + _______,90,683,0,2,5,3,_____ __ ___________ __ ______ __ ___ ____ ___ ______ __ ___ ____ _____ _______ __ _____ __ __ ______.,_____ ____.,__. ___ ____ __ ________ _______ ___.
