subject_id,transition_entropy,Multi_discipline_entropy,PSY,normalized_total_listenning_time
1,1,0.861213924,714,0.615384615
2,1,0.994984828,709,0.452830189
3,1,0.959991803,736,
4,1,0.987072069,588,
5,0.564475468,0.968461009,674,
6,1,0.991503271,665,
7,1,0.981744976,630,
8,1,0.873278002,732,0.892857143
9,1,0.991503271,783,
10,0.796453036,0.852792488,727,
11,1,0.982196313,666,0.882352941
12,1,0.982196313,690,
13,1,0.98671431,737,
14,1,0.941806107,694,0.722222222
15,1,0.999010271,679,0.482142857
16,1,0.985043662,640,0.854545455
17,0.742098129,0.922846972,745,0.807017544
18,1,0.971838493,634,0.724137931
19,0.898226518,0.874967219,,0.884615385
20,0.693426404,0.928169223,736,0.724137931
21,1,0.912492844,730,0.836363636
22,1,0.98632677,642,0.759259259
23,1,0.956597566,652,0.78
24,0.827729377,0.792235252,744,0.666666667
25,1,0.973361533,732,0.740740741
26,1,0.985043662,635,0.824561404
51,1,0.952049956,742,0.796296296
52,1,0.965713228,730,
53,1,0.989065053,683,
54,0.693426404,0.646373522,680,
55,1,0.979659772,624,
56,1,0.966514783,727,
57,1,0.989065053,693,
58,1,0.967178639,676,
59,1,0.984272286,740,
60,1,0.982196313,615,
61,0.75,0.974489403,710,
62,1,0.98671431,702,
63,1,0.988158509,700,0.857142857
64,1,0.987022454,660,0.854166667
65,,,,
66,0.827729377,0.978458179,,0.764705882
67,1,0.988910766,700,0.571428571
68,1,0.954651878,690,0.777777778
69,1,0.967975345,670,0.896551724
70,0.432931647,0.961236605,721,0.928571429
71,1,0.98671431,657,0.821428571
72,0.742098129,0.843943713,657,0.74137931
73,1,0.98671431,741,0.821428571
