id,condition,group,tablet,Agr_1,Agr_2,Agr_3,Agr_4,Agr_5,Agr_6,Agr_7,Agr_8,Agr_9,Agr_10,Remarks
1,robot,1,4,4,4,3,2,1,4,3,3,4,3,
2,robot,1,1,1,4,4,1,3,3,2,1,2,1,
3,robot,1,3,4,5,4,4,2,4,4,2,5,5,
4,robot,1,2,1,3,2,5,1,3,4,2,1,4,
5,tablet,2,4,3,3,3,3,3,4,4,3,4,4,
6,tablet,2,1,4,5,2,4,2,5,4,2,4,4,
7,tablet,2,2,4,4,5,5,4,5,5,4,5,5,
8,tablet,2,3,5,5,3,5,5,5,5,3,5,5,
9,tablet,3,2,4,5,5,5,3,5,5,2,5,5,
10,tablet,3,1,4,2,5,5,3,5,5,2,5,5,
11,tablet,3,4,5,5,5,5,2,5,5,1,5,5,
12,tablet,3,3,4,3,4,4,3,4,4,3,4,4,
13,tablet,4,3,5,5,5,5,4,5,3,3,5,5,
14,tablet,4,4,3,1,4,4,3,5,5,3,5,5,
15,tablet,4,2,5,2,5,5,5,5,5,1,5,5,
16,tablet,5,3,5,5,5,5,3,5,5,1,5,5,
17,tablet,5,1,5,5,5,5,3,5,5,1,5,5,
18,tablet,5,2,5,5,5,4,2,5,4,2,5,5,
19,tablet,5,4,5,5,5,4,2,5,4,2,4,5,
20,robot,11,4,5,5,5,5,3,4,4,2,5,5,
21,robot,11,2,,,,,,,,,,,
22,robot,11,5,5,5,5,5,4,5,5,1,5,5,
23,robot,11,1,4,4,4,4,4,4,4,2,4,4,
24,robot,11,3,5,4,5,5,2,5,5,1,5,5,
25,robot,12,1,5,5,4,5,3,5,5,2,5,5,
26,robot,12,2,5,5,5,5,3,5,5,3,5,5,
27,robot,12,3,5,5,4,5,3,4,5,4,5,4,
28,robot,12,4,5,5,5,5,4,5,5,2,5,5,
29,robot,13,2,2,4,4,2,2,4,1,2,4,4,
30,robot,13,4,5,5,5,5,4,5,5,1,5,5,
31,robot,13,3,5,5,5,5,2,5,5,1,5,5,
32,robot,13,5,5,5,5,5,3,5,5,1,5,5,
33,robot,13,1,5,5,5,5,5,5,5,2,5,5,
34,teacher,,,,,,,,,,,,,
35,teacher,,,,,,,,,,,,,
36,teacher,,,,,,,,,,,,,
37,teacher,,,,,,,,,,,,,
38,teacher,,,,,,,,,,,,,
