id,condition,group,tablet,ARo_1,ARo_2,ARo_3,ARo_4,ARo_5,ARo_6,ARo_7,ARo_8,ARo_9,ARo_10,ARo_11,ARo_12,ARo_13,ARo_14,ARo_15,Remarks
1,robot,1,4,2,3,2,5,5,3,5,1,3,1,2,1,3,1,1,
2,robot,1,1,5,4,2,4,2,4,4,2,4,4,4,4,2,2,5,
3,robot,1,3,4,4,2,5,5,5,5,3,5,4,1,2,2,3,4,
4,robot,1,2,4,4,1,5,5,4,5,2,4,1,1,1,1,1,1,
5,tablet,2,4,3,3,3,4,4,3,3,3,2,3,1,2,2,2,3,
6,tablet,2,1,4,3,3,5,4,2,2,5,1,2,1,2,5,5,5,
7,tablet,2,2,2,1,1,4,4,1,2,4,1,1,1,1,2,1,4,
8,tablet,2,3,3,3,2,5,5,3,5,5,4,2,2,1,2,2,2,
9,tablet,,,,,,,,,,,,,,,,,,
10,tablet,,,,,,,,,,,,,,,,,,
11,tablet,,,,,,,,,,,,,,,,,,
12,tablet,,,,,,,,,,,,,,,,,,
13,tablet,,,,,,,,,,,,,,,,,,
14,tablet,,,,,,,,,,,,,,,,,,
15,tablet,,,,,,,,,,,,,,,,,,
16,tablet,,,,,,,,,,,,,,,,,,
17,tablet,,,,,,,,,,,,,,,,,,
18,tablet,,,,,,,,,,,,,,,,,,
19,tablet,,,,,,,,,,,,,,,,,,
20,robot,,,,,,,,,,,,,,,,,,
21,robot,11,2,5,5,3,5,3,4,4,4,5,4,3,4,3,4,4,
22,robot,11,5,5,5,5,5,5,5,5,4,5,5,3,3,3,5,5,
23,robot,11,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,
24,robot,11,3,5,4,3,5,5,3,5,5,5,5,1,1,4,2,2,
25,robot,12,1,5,5,5,5,5,5,5,5,5,4,3,3,5,5,5,
26,robot,12,2,3,3,3,5,5,5,4,5,5,5,3,3,3,4,5,
27,robot,12,3,5,4,4,5,4,4,4,5,3,2,1,1,3,3,4,
28,robot,12,4,5,4,3,5,5,5,5,4,5,5,3,3,3,3,2,
29,robot,,,,,,,,,,,,,,,,,,
30,robot,13,4,5,4,4,5,5,5,5,4,4,4,2,1,1,2,2,
31,robot,13,3,5,5,5,5,5,4,4,3,5,5,2,5,2,4,5,
32,robot,13,5,5,4,4,5,5,5,3,4,5,5,3,3,3,4,4,
33,robot,13,1,5,5,2,5,5,5,5,5,5,5,3,1,5,5,5,
34,teacher,,,,,,,,,,,,,,,,,,
35,teacher,,,,,,,,,,,,,,,,,,
36,teacher,,,,,,,,,,,,,,,,,,
37,teacher,,,,,,,,,,,,,,,,,,
38,teacher,,,,,,,,,,,,,,,,,,
