id,condition,group,tablet,ATa_1,ATa_2,ATa_3,ATa_4,ATa_5,ATa_6,ATa_7,ATa_8,ATa_9,ATa_10,ATa_11,ATa_12,ATa_13,ATa_14,ATa_15,Remarks,
1,robot,,,,,,,,,,,,,,,,,,,
2,robot,,,,,,,,,,,,,,,,,,,
3,robot,,,,,,,,,,,,,,,,,,,
4,robot,,,,,,,,,,,,,,,,,,,
5,tablet,2,4,5,3,3,3,3,4,4,3,3,4,2,3,3,3,3,,
6,tablet,2,1,5,4,4,5,4,4,3,5,1,1,2,1,3,4,4,,
7,tablet,2,2,5,5,2,3,4,5,5,3,3,4,1,2,1,2,3,,
8,tablet,2,3,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,,
9,tablet,3,2,5,5,5,5,3,5,5,3,3,5,3,3,3,5,3,,
10,tablet,3,1,5,3,3,5,4,3,5,3,0,4,2,0,3,3,3,,3
11,tablet,3,4,5,5,3,5,5,5,5,3,3,4,1,1,0,3,3,,
12,tablet,3,3,4,3,4,4,2,3,4,3,2,3,2,2,3,3,3,,
13,tablet,4,3,4,5,4,4,3,5,5,5,4,3,2,2,4,4,4,,
14,tablet,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,tablet,4,4,5,5,3,5,1,5,4,1,3,2,4,3,2,1,5,,
16,tablet,5,3,5,2,5,5,2,4,4,2,4,3,1,1,2,3,3,,
17,tablet,5,1,5,3,4,4,3,4,4,4,3,4,2,2,3,4,4,,
18,tablet,5,2,5,2,2,4,4,4,5,4,1,3,1,1,3,4,4,,
19,tablet,5,4,5,4,5,3,3,4,5,4,5,4,3,2,2,4,4,,
20,robot,,,,,,,,,,,,,,,,,,,
21,robot,11,2,5,3,3,4,4,4,4,3,3,3,3,3,3,3,3,,
22,robot,11,5,5,5,5,5,5,5,5,3,5,5,3,3,4,4,4,,
23,robot,11,1,5,5,3,3,3,5,5,5,3,4,4,3,4,4,4,,
24,robot,11,3,5,5,5,2,2,2,4,5,4,2,1,1,1,5,5,,
25,robot,12,1,5,4,4,3,4,4,3,5,4,4,3,1,4,5,5,,
26,robot,12,2,5,4,5,5,4,5,5,5,4,5,3,3,4,3,5,,
27,robot,12,3,5,4,4,3,4,3,4,4,0,3,3,1,3,3,3,,
28,robot,12,4,5,5,4,5,4,5,5,5,5,5,3,3,3,4,4,,
29,robot,,,,,,,,,,,,,,,,,,,
30,robot,13,4,5,5,5,4,4,5,5,4,3,4,2,1,2,2,2,,
31,robot,13,3,5,4,5,5,3,3,5,3,5,4,3,4,3,5,5,,
32,robot,13,5,5,5,5,5,4,4,3,5,4,4,3,3,3,4,4,,
33,robot,13,1,5,5,5,5,5,5,5,5,1,5,2,1,5,5,5,,
34,teacher,,,,,,,,,,,,,,,,,,,
35,teacher,,,,,,,,,,,,,,,,,,,
36,teacher,,,,,,,,,,,,,,,,,,,
37,teacher,,,,,,,,,,,,,,,,,,,
38,teacher,,,,,,,,,,,,,,,,,,,
