id,condition,group,tablet,ATe_1,ATe_2,ATe_3,ATe_4,ATe_5,ATe_6,ATe_7,ATe_8,ATe_9,ATe_10,ATe_11,ATe_12,ATe_13,ATe_14,ATe_15,Remarks
1,robot,,,,,,,,,,,,,,,,,,
2,robot,,,,,,,,,,,,,,,,,,
3,robot,,,,,,,,,,,,,,,,,,
4,robot,,,,,,,,,,,,,,,,,,
5,tablet,,,,,,,,,,,,,,,,,,
6,tablet,,,,,,,,,,,,,,,,,,
7,tablet,,,,,,,,,,,,,,,,,,
8,tablet,,,,,,,,,,,,,,,,,,
9,tablet,,,,,,,,,,,,,,,,,,
10,tablet,,,,,,,,,,,,,,,,,,
11,tablet,,,,,,,,,,,,,,,,,,
12,tablet,,,,,,,,,,,,,,,,,,
13,tablet,,,,,,,,,,,,,,,,,,
14,tablet,,,,,,,,,,,,,,,,,,
15,tablet,,,,,,,,,,,,,,,,,,
16,tablet,,,,,,,,,,,,,,,,,,
17,tablet,,,,,,,,,,,,,,,,,,
18,tablet,,,,,,,,,,,,,,,,,,
19,tablet,,,,,,,,,,,,,,,,,,
20,robot,,,,,,,,,,,,,,,,,,
21,robot,,,,,,,,,,,,,,,,,,
22,robot,,,,,,,,,,,,,,,,,,
23,robot,,,,,,,,,,,,,,,,,,
24,robot,,,,,,,,,,,,,,,,,,
25,robot,,,,,,,,,,,,,,,,,,
26,robot,,,,,,,,,,,,,,,,,,
27,robot,,,,,,,,,,,,,,,,,,
28,robot,,,,,,,,,,,,,,,,,,
29,robot,,,,,,,,,,,,,,,,,,
30,robot,,,,,,,,,,,,,,,,,,
31,robot,,,,,,,,,,,,,,,,,,
32,robot,,,,,,,,,,,,,,,,,,
33,robot,,,,,,,,,,,,,,,,,,
34,teacher,20,,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,
35,teacher,20,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
36,teacher,20,,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,
37,teacher,20,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
38,teacher,20,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
