id,condition,class,group,preErrors,PreDiag,postErrors,postDiag
1,robot,noon,1,19,0.5,11,0
2,robot,noon,1,31,0.5,,
3,robot,noon,1,,,21,0
4,robot,noon,1,6,0.5,8,1
5,tablet,noon,2,14,1,5,0.5
6,tablet,noon,2,6,1,,
7,tablet,noon,2,,,,
8,tablet,noon,2,19,1,7,0.5
9,tablet,noon,3,16,1,11,0.5
10,tablet,noon,3,17,0.5,15,0.5
11,tablet,noon,3,22,1,28,0
12,tablet,noon,3,,,4,0
13,tablet,noon,4,,,,
14,tablet,noon,4,15,0.5,11,0.5
15,tablet,noon,4,,,14,0
16,tablet,noon,5,7,0.5,6,0.5
17,tablet,noon,5,,,4,0
18,tablet,noon,5,9,1,2,1
19,tablet,noon,5,16,0.5,10,1
20,robot,evening,11,19,,9,0.5
21,robot,evening,11,5,,15,0.5
22,robot,evening,11,20,,37,0
23,robot,evening,11,16,,,
24,robot,evening,11,18,,,
25,robot,evening,12,9,1,8,0.5
26,robot,evening,12,6,,13,1
27,robot,evening,12,10,,13,0.5
28,robot,evening,12,6,,3,1
29,robot,evening,13,3,,6,1
30,robot,evening,13,3,,13,0.5
31,robot,evening,13,3,,12,0.5
32,robot,evening,13,13,,14,0.5
33,robot,evening,13,10,,13,0.5
34,teacher,noon,20,,,7,0
35,teacher,noon,20,6,0.5,4,0
36,teacher,noon,20,,,,
37,teacher,noon,20,,,8,0.5
38,teacher,noon,20,14,1,12,0
