__ _____,id,condition,group,tablet,NARS_post_1,NARS_post_2,NARS_post_3,NARS_post_4,NARS_post_5,NARS_post_6,NARS_post_7,NARS_post_8,NARS_post_9,NARS_post_10,NARS_post_11,NARS_post_12,NARS_post_13,NARS_post_14,Remarks
_____ - ______Ê,1,robot,1,4,5,5,1,3,1,1,3,3,5,1,4,4,3,1,
______Ê,2,robot,1,1,5,5,1,5,1,1,3,4,5,4,5,5,5,5,
_____Ê,3,robot,1,,,,,,,,,,,,,,,,
___Ê,4,robot,1,2,5,4,1,1,1,1,3,3,5,3,3,3,3,4,
_____Ê,5,tablet,2,4,4,4,3,5,3,3,3,3,3,3,3,3,3,2,
_____Ê,6,tablet,2,1,4,4,3,1,4,2,1,1,5,1,3,1,1,3,
____Ê,7,tablet,2,2,2,3,4,3,3,2,1,2,1,1,4,1,2,5,
_____Ê,8,tablet,2,3,5,5,2,2,2,2,2,4,5,1,4,4,2,2,
________Ê,9,tablet,3,2,1,1,4,1,4,4,3,1,1,1,1,1,1,1,
______ _____Ê,10,tablet,3,1,5,4,2,2,1,2,2,2,5,2,2,3,3,2,
____Ê,11,tablet,3,4,1,1,5,1,5,5,1,5,5,5,5,1,1,5,
_____'____Ê,12,tablet,3,3,3,3,3,2,2,2,3,3,4,2,2,2,3,4,
______Ê,13,tablet,4,3,5,4,4,2,4,4,3,1,5,1,2,4,3,2,
_______Ê,14,tablet,4,4,3,5,1,5,0,2,4,5,5,4,5,5,5,4,
____Ê,15,tablet,4,2,1,1,3,3,3,1,5,1,1,1,1,1,1,1,
___Ê,16,tablet,5,3,4,3,3,2,3,2,3,2,4,3,2,2,3,3,
____ _________Ê,17,tablet,5,,,,,,,,,,,,,,,,
____Ê,18,tablet,5,2,3,1,5,1,4,2,1,1,3,1,5,1,2,2,
__Ê,19,tablet,5,,,,,,,,,,,,,,,,
____Ê,20,robot,11,4,2,3,3,3,4,2,1,2,3,2,3,2,2,4,
____Ê,21,robot,11,2,4,4,3,2,3,2,3,2,3,2,4,2,3,4,
___Ê,22,robot,11,5,5,5,5,3,1,1,1,2,1,2,2,4,1,2,
___Ê,23,robot,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
___Ê,24,robot,11,3,1,1,1,1,1,1,5,1,2,3,2,1,1,1,
_____Ê,25,robot,12,1,3,2,4,1,3,1,1,2,4,1,2,1,2,2,
____,26,robot,12,2,1,5,5,3,5,4,2,4,1,1,1,1,1,5,
___,27,robot,12,3,1,1,5,4,3,4,1,3,3,1,3,2,1,2,
________Ê,28,robot,12,4,3,4,2,2,2,1,5,1,4,3,1,4,4,3,
____ ___Ê,29,robot,12,2,4,4,4,4,2,2,2,4,5,4,4,4,4,3,
____Ê,30,robot,13,4,5,5,4,5,2,1,3,1,5,1,4,4,2,2,
___Ê,31,robot,13,3,5,5,3,2,2,2,1,1,5,2,3,2,3,2,
_______ ___Ê,32,robot,13,5,4,4,3,1,2,1,2,1,3,1,3,1,1,2,
____ ______Ê,33,robot,13,1,3,5,5,1,3,3,1,1,4,1,4,1,4,5,
____Ê,34,teacher,20,,5,5,1,3,1,1,3,3,5,2,3,1,2,2,
_____Ê,35,teacher,20,,5,5,3,3,3,3,3,3,4,3,5,3,4,3,
____Ê,36,teacher,20,,,,,,,,,,,,,,,,
_______Ê,37,teacher,20,,5,5,1,5,1,1,3,5,5,1,3,5,5,1,
,38,teacher,20,,5,1,3,1,3,3,1,5,1,3,1,1,1,1,
