id,condition,group,tablet,NARS_pre_1,NARS_pre_2,NARS_pre_3,NARS_pre_4,NARS_pre_5,NARS_pre_6,NARS_pre_7,NARS_pre_8,NARS_pre_9,NARS_pre_10,NARS_pre_11,NARS_pre_12,NARS_pre_13,NARS_pre_14,Remarks
1,robot,1,4,4,4,3,3,1,1,3,3,5,1,3,3,2,3,
2,robot,1,1,5,4,2,3,1,1,3,4,5,3,4,4,4,2,
3,robot,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,
4,robot,1,2,4,4,2,1,3,1,1,1,3,1,2,2,2,3,
5,tablet,2,4,3,4,2,4,3,2,3,5,4,3,3,3,3,2,
6,tablet,2,1,4,4,3,2,1,1,2,2,4,1,1,2,3,4,
7,tablet,,,,,,,,,,,,1,4,1,3,3,
8,tablet,2,3,4,4,3,2,2,1,4,4,4,,,,,,
9,tablet,3,2,2,1,4,1,4,3,3,2,1,1,1,1,1,1,
10,tablet,3,1,5,3,2,2,3,1,1,1,4,1,3,2,3,2,
11,tablet,,,,,,,,,,,,,,,,,
12,tablet,3,3,3,4,3,2,2,2,4,3,4,2,2,2,3,4,
13,tablet,4,3,2,5,5,1,5,5,2,3,5,1,2,3,3,2,
14,tablet,4,4,1,3,2,5,3,1,2,5,5,4,5,3,5,3,
15,tablet,4,2,1,1,5,1,3,3,3,1,3,1,1,1,1,3,
16,tablet,5,3,4,3,4,2,3,2,0,1,3,2,3,2,2,2,
17,tablet,5,1,4,3,4,1,3,2,1,1,4,1,1,1,1,1,
18,tablet,,,,,,,,,,,,,,,,,
19,tablet,,,,,,,,,,,,,,,,,
20,robot,11,4,3,0,4,2,3,4,1,1,3,1,2,3,2,4,
21,robot,11,2,5,5,3,2,3,2,3,3,3,2,3,2,2,3,
22,robot,11,5,4,5,1,2,1,1,5,3,2,2,4,4,4,3,
23,robot,11,1,1,1,3,3,3,1,5,1,0,1,1,1,1,3,
24,robot,11,3,1,2,5,1,3,1,5,3,3,1,1,1,1,3,
25,robot,12,1,2,2,4,1,2,3,2,4,4,1,1,1,2,2,
26,robot,12,2,2,2,3,3,4,3,1,2,2,2,2,3,2,4,
27,robot,12,3,1,3,5,1,4,4,2,2,3,1,3,1,1,3,
28,robot,12,4,4,3,3,1,3,1,2,1,4,2,3,3,2,3,
29,robot,13,2,3,3,3,2,3,2,2,4,4,3,3,4,3,3,
30,robot,13,4,5,5,5,1,1,1,1,1,3,1,5,1,4,1,
31,robot,13,3,4,5,4,1,2,1,1,1,5,1,3,1,2,2,
32,robot,13,5,3,5,3,1,3,1,4,1,2,1,2,2,1,2,
33,robot,13,1,3,5,4,1,4,5,1,1,3,1,3,1,4,4,
34,teacher,20,,5,5,1,3,1,1,3,3,5,1,3,1,1,2,
35,teacher,20,,5,5,3,3,2,2,3,2,5,3,4,3,3,3,
36,teacher,20,,5,4,4,2,4,3,2,4,5,1,4,4,2,4,
37,teacher,20,,5,5,1,5,1,2,3,1,5,1,1,5,3,1,
38,teacher,20,,,,,,,,,,,,,,,,
