id,condition,group,tablet,SIMS_1,SIMS_2,SIMS_3,SIMS_4,SIMS_5,SIMS_6,SIMS_7,SIMS_8,SIMS_9,SIMS_10,SIMS_11,SIMS_12,SIMS_13,SIMS_14,SIMS_15,SIMS_16,Remarks
1,robot,1,4,7,7,2,1,6,6,1,5,7,5,1,1,5,6,1,4,
2,robot,1,1,6,4,6,3,4,4,4,5,6,4,3,1,3,6,6,3,
3,robot,1,3,5,4,5,2,5,5,6,2,5,6,3,2,4,3,5,6,
4,robot,1,2,7,6,2,2,5,5,2,2,7,7,1,1,2,5,5,2,
5,tablet,2,4,3,3,3,3,3,3,4,4,3,3,4,4,3,3,4,3,
6,tablet,2,1,7,4,5,2,7,5,3,2,7,4,2,4,6,5,4,2,
7,tablet,2,2,7,7,5,5,7,6,6,5,6,7,3,3,5,7,4,6,
8,tablet,2,3,7,7,7,1,7,7,4,1,7,7,1,1,7,7,7,1,
9,tablet,3,2,6,7,4,1,7,7,4,1,6,6,4,1,6,7,4,1,
10,tablet,3,1,5,7,3,1,4,7,2,2,5,1,1,1,5,6,6,1,
11,tablet,3,4,7,7,4,1,7,7,4,1,7,7,1,1,4,7,7,1,
12,tablet,3,3,4,5,5,5,3,5,3,3,3,5,2,3,4,4,4,3,
13,tablet,4,3,6,5,7,4,6,7,7,1,5,2,4,1,6,7,7,2,
14,tablet,4,4,4,5,5,2,2,3,2,2,4,5,2,1,5,0,3,3,
15,tablet,4,2,7,7,6,2,6,7,7,1,3,3,1,1,2,7,3,3,
16,tablet,5,3,6,6,7,1,5,6,7,1,5,7,1,1,4,6,7,1,
17,tablet,5,1,5,5,3,1,6,6,2,1,4,1,2,2,5,6,2,1,
18,tablet,5,2,5,6,6,1,5,7,3,1,5,5,1,1,2,6,1,1,
19,tablet,5,4,5,4,7,3,3,5,7,3,1,3,6,2,1,4,7,1,
20,robot,11,4,6,5,5,4,6,4,4,3,3,6,3,1,5,5,4,1,
21,robot,11,2,4,4,7,1,4,4,5,1,4,4,4,1,4,4,5,2,
22,robot,11,5,0,4,4,5,6,6,6,4,6,4,5,4,5,5,5,1,
23,robot,11,1,6,5,3,1,6,6,3,6,6,6,2,2,5,2,2,2,
24,robot,11,3,3,1,7,3,7,7,7,1,7,1,7,1,3,1,7,1,
25,robot,12,1,6,4,7,1,5,6,7,1,7,3,4,2,4,7,7,2,
26,robot,12,2,7,4,7,3,7,7,7,1,7,7,4,1,7,7,4,1,
27,robot,12,3,7,7,7,1,7,7,7,1,7,1,1,1,7,7,7,1,
28,robot,12,4,5,1,5,3,4,2,5,2,3,2,4,4,5,2,6,4,
29,robot,13,2,5,2,6,6,4,4,6,5,4,2,5,4,3,3,3,3,
30,robot,13,4,3,2,7,2,3,3,6,6,2,6,7,7,1,3,6,6,
31,robot,13,3,7,7,7,1,7,7,1,1,7,7,1,1,7,7,7,1,
32,robot,13,5,7,7,5,2,5,7,4,2,5,2,2,1,5,6,4,1,
33,robot,13,1,7,2,4,5,7,3,4,1,7,4,4,2,5,5,6,1,
34,teacher,20,,,,,,,,,,,,,,,,,,
35,teacher,20,,,,,,,,,,,,,,,,,,
36,teacher,20,,,,,,,,,,,,,,,,,,
37,teacher,20,,,,,,,,,,,,,,,,,,
38,teacher,20,,,,,,,,,,,,,,,,,,
